FCCS_Code,FCCS_name,GENVEG
190,Slash pine-longleaf pine/gallberry forest,6
191,Longleaf pine-slash pine/gallberry forest,6
196,Loblolly pine/bluestem forest,6
203,Sawgrass-Muhlenbergia grassland,1
208,Grand fir-Douglas-fir forest,6
210,Pinyon-Utah juniper woodland,2
211,Interior ponderosa pine forest,6
212,Pacific ponderosa pine forest,6
213,Wheatgrass-cheatgrass grassland,1
214,Giant sequoia-white fir-sugar pine forest,6
215,Douglas-fir-madrone/tanoak forest,4
216,Gambel oak-bigtooth maple forest,4
217,Gambel oak-bigtooth maple forest,4
218,Gambel oak/big sagebrush shrubland,2
219,Ponderosa pine-white fir/quaking aspen forest,4
220,Ponderosa pine-white fir/quaking aspen forest,4
221,Wheatgrass-ryegrass grassland,1
222,Interior ponderosa pine forest,6
223,Douglas-fir-white fir-interior ponderosa pine forest,6
224,Quaking aspen forest,4
225,Quaking aspen forest,4
226,White fir-gambel oak forest,4
227,White fir forest,6
228,Interior ponderosa pine-limber pine forest,6
229,Ponderosa pine/Utah juniper forest,6
230,Pinyon-Utah juniper forest,6
231,Gambel oak-Rocky Mountain juniper-ponderosa pine forest,4
232,Mesquite savanna,2
233,Sagebrush shrubland,2
234,Sagebrush shrubland,2
235,Idaho fescue-bluebunch wheatgrass grassland,1
236,Tobosa-grama grassland,1
237,Huckleberry-heather shrubland,2
238,Pacific silver fir-mountain hemlock forest,4
239,Douglas-fir-sugar pine-tanoak forest,4
240,Saw palmetto/three-awned grass shrubland,2
241,Longleaf-loblolly pine forest,6
242,Longleaf-loblolly pine forest,6
243,Pitch pine/scrub oak shrubland,2
260,Ohia/uluhe forest,4
261,Pili grass-broomsedge bluestem grassland,1
262,Molasses grass grassland,1
263,Ohia/broomsedge bluestem savanna,1
264,Post-blackjack oak forest,4
265,Balsam fir-white spruce-mixed hardwood forest,4
266,Sugar maple-basswood forest,4
267,American beech-yellow birch-sugar maple-red spruce forest,4
268,American beech-yellow birch-sugar maple-eastern hemlock forest,4
269,Sugar maple-yellow poplar-American beech-oak forest,4
270,Red spruce-Fraser fir/rhododendron forest,4
272,Mangrove forest,4
273,Engelmann spruce-Douglas-fir-white fir-ponderosa pine forest,6
274,American beech-sugar maple forest,4
275,Chestnut-white-northern red oak forest,4
276,Oak-pine-magnolia forest,4
279,Black spruce-northern white cedar-larch forest,6
280,Bluestem-Gulf cordgrass grassland,1
281,Shortleaf pine-post oak-black oak forest,4
282,Loblolly pine forest,6
283,Willow-laurel-water oak forest,4
284,Green ash-American elm-silver maple-cottonwood forest,4
286,Limber pine-ponderosa pine forest,6
287,Eastern white pine-eastern hemlock forest,6
288,Bald cypress-water tupelo forest,4
289,Pond cypress/Muhlenbergia-sawgrass savanna,1
291,Longleaf-slash pine/saw palmetto forest,6
